good,0.116
great,4.0
really,-0.953
would,-1.841
well,2.351
first,0.758
best,2.312
many,0.968
made,-0.918
think,0.106
still,1.289
little,0.308
never,-0.09
know,-0.535
ever,-0.561
love,1.566
makes,0.726
real,0.437
better,-1.231
acting,-1.791
young,1.097
quite,0.648
find,0.437
always,1.054
old,0.063
back,0.003
may,0.626
watching,-0.75
however,0.077
going,-0.605
actually,-0.73
bad,-6.072
new,0.406
funny,-0.409
seems,-0.424
got,-0.399
last,0.23
must,0.119
different,0.761
done,0.065
take,-0.094
played,0.616
almost,-0.013
big,0.062
thought,-0.18
want,-0.735
gets,-0.351
long,-0.135
right,0.156
especially,0.666
give,-0.281
pretty,-0.614
interesting,-0.172
enough,-0.638
excellent,1.231
true,0.71
yet,0.324
when,0.286
probably,-0.109
original,-0.748
beautiful,0.915
comes,0.09
rather,-0.059
found,0.032
far,-0.361
together,0.353
whole,-0.515
might,-0.511
takes,0.289
later,0.417
wonderful,1.082
goes,-0.128
ending,0.01
plays,0.566
classic,0.548
watched,-0.065
hard,-0.149
least,-1.08
gives,0.599
show,0.189
seeing,0.11
loved,0.835
nice,0.271
away,-0.116
perfect,0.892
making,-0.443
believe,-0.393
main,-0.211
feel,0.116
sure,-0.191
put,-0.189
seem,-0.152
trying,-0.571
small,0.42
definitely,0.551
looking,-0.404
often,0.389
recommend,0.405
can't,-0.49
special,-0.169
amazing,0.834
liked,0.436
truly,0.317
short,0.171
not,-0.345
set,0.053
early,0.318
used,-0.056
left,-0.215
came,0.146
second,0.119
end,-0.211
look,-0.321
shows,0.442
remember,0.27
enjoyed,0.582
perhaps,0.094
human,0.414
given,-0.062
american,0.267
high,-0.032
less,-0.109
entertaining,0.309
live,0.327
full,0.143
read,-0.153
maybe,-0.371
several,0.178
simply,-0.381
favorite,0.613
cast,0.134
else,-0.44
keep,0.091
certainly,0.159
able,0.25
become,0.258
finally,0.155
playing,0.078
enjoy,0.295
based,0.138
next,0.068
looks,-0.599
fine,0.395
highly,0.563
top,0.199
instead,-0.832
completely,-0.552
strong,0.492
getting,-0.231
final,0.239
also,0.029
beginning,0.133
wants,0.096
lost,0.0
need,-0.103
sometimes,0.277
went,-0.156
late,0.262
felt,-0.177
black,-0.128
understand,-0.024
written,-0.13
absolutely,-0.224
brilliant,0.493
worth,-0.004
fantastic,0.58
bit,0.239
including,0.216
already,-0.143
gave,-0.019
entire,-0.309
even,-0.302
works,0.339
overall,0.174
hilarious,0.297
musical,0.302
soon,0.158
released,0.208
simple,0.377
expect,-0.007
told,0.162
wrong,-0.524
moving,0.408
took,0.015
supporting,0.337
enjoyable,0.367
romantic,0.33
important,0.227
now,-0.224
wanted,-0.283
directed,0.052
particularly,0.094
turns,0.124
becomes,0.078
somewhat,0.149
shown,0.135
white,0.049
happy,0.249
known,0.155
hope,0.105
tell,-0.165
usual,0.138
lives,0.303
close,0.032
fun,0.18
play,0.146
totally,-0.274
coming,0.052
greatest,0.374
seemed,-0.411
so,-0.183
says,-0.094
involved,-0.084
modern,0.249
easy,0.292
ago,0.187
extremely,-0.056
leave,-0.001
then,-0.536
dead,-0.309
similar,0.155
alone,0.027
father,0.275
realistic,0.309
happened,-0.143
taken,0.004
heard,0.013
surprised,0.194
famous,0.231
powerful,0.401
exactly,-0.053
mean,-0.56
perfectly,0.376
writing,-0.249
easily,0.074
wish,0.071
finds,0.196
memorable,0.317
local,0.063
serious,-0.057
lot,0.077
taking,0.012
typical,0.152
comic,0.119
happen,-0.08
brought,0.222
mostly,-0.007
emotional,0.286
working,0.161
due,0.044
dark,0.206
let,-0.181
try,-0.138
feeling,0.078
possible,-0.115
usually,-0.041
killed,-0.292
british,0.131
certain,0.141
indeed,0.141
evil,-0.108
particular,0.175
hit,0.082
believable,0.206
unique,0.343
starts,-0.096
named,0.072
sad,-0.001
work,0.04
became,0.169
knows,0.103
knew,0.0
huge,-0.109
started,-0.138
